vendor_id,vendor_name,category,city,price_start,price_end,style_tags,rating
EO-001,Mahakarya Planner,Event Organizer,Jakarta,5000000,15000000,"Formal, Mewah, Eksklusif",4.8
EO-002,Harmoni Sukses Event,Event Organizer,Bogor,3000000,10000000,"Elegan, Profesional, Terorganisir",4.6
EO-003,Brilliance Organizer,Event Organizer,Depok,4000000,12000000,"Modern, Mewah, Detail",4.7
EO-004,Grand Festive Co.,Event Organizer,Tangerang,6000000,18000000,"Eksklusif, Grand, Premium",4.9
EO-005,Cemerlang Event,Event Organizer,Bekasi,2500000,8000000,"Sederhana, Rapi, Hangat",4.5
EO-006,Agung Mandiri Planner,Event Organizer,Jakarta,7000000,20000000,"Mewah, Internasional, Prestisius",4.9
EO-007,Bintang Sejahtera EO,Event Organizer,Bogor,2000000,7000000,"Tradisional, Klasik, Sopan",4.4
EO-008,Cahaya Nusantara Event,Event Organizer,Depok,3500000,11000000,"Budaya, Nasional, Meriah",4.6
EO-009,Duta Prima Organizer,Event Organizer,Tangerang,5500000,16000000,"Formal, Terstruktur, Profesional",4.7
EO-010,Elegan Event House,Event Organizer,Bekasi,4500000,13000000,"Elegan, Minimalis, Modern",4.8
EO-011,Festive Glory Planner,Event Organizer,Jakarta,8000000,22000000,"Grand, Mewah, Eksklusif",4.9
EO-012,Gemilang Sejati EO,Event Organizer,Bogor,1800000,6000000,"Hemat, Rapi, Efisien",4.3
EO-013,Harmonia Event Studio,Event Organizer,Depok,4200000,13500000,"Harmonis, Detail, Terencana",4.7
EO-014,Indah Bersama Organizer,Event Organizer,Tangerang,3200000,9500000,"Hangat, Keluarga, Nyaman",4.5
EO-015,Jaya Mandiri Planner,Event Organizer,Bekasi,5000000,15000000,"Profesional, Tepat Waktu, Terorganisir",4.6
EO-016,Karya Terbaik Event,Event Organizer,Jakarta,6500000,19000000,"Premium, Detail, Internasional",4.8
EO-017,Lestari Event Group,Event Organizer,Bogor,2200000,7500000,"Alam, Segar, Rustic",4.4
EO-018,Mulia Bersatu Planner,Event Organizer,Depok,3800000,11500000,"Formal, Tertib, Berkelas",4.6
EO-019,Nusantara Grand EO,Event Organizer,Tangerang,7500000,21000000,"Nasional, Megah, Meriah",4.9
EO-020,Optima Event Solution,Event Organizer,Bekasi,4000000,12000000,"Solusi, Fleksibel, Profesional",4.5
EO-021,Prima Karya Organizer,Event Organizer,Jakarta,5500000,17000000,"Mewah, Anggun, Prestisius",4.7
EO-022,Quantum Event House,Event Organizer,Bogor,3000000,9000000,"Modern, Inovatif, Dinamis",4.5
EO-023,Rajawali Event Studio,Event Organizer,Depok,4500000,14000000,"Nasional, Gagah, Terhormat",4.6
EO-024,Serasi Mandiri Planner,Event Organizer,Tangerang,2800000,8500000,"Serasi, Seimbang, Tertata",4.4
EO-025,Tara Grand Event,Event Organizer,Bekasi,6000000,18000000,"Grand, Formal, Berkelas",4.8
EO-026,Unggul Event Organizer,Event Organizer,Jakarta,7000000,20000000,"Unggul, Premium, Elegan",4.9
EO-027,Vibrasi Sukses EO,Event Organizer,Bogor,2500000,8000000,"Energik, Meriah, Semangat",4.3
EO-028,Warna Warni Planner,Event Organizer,Depok,3000000,9500000,"Colorful, Kreatif, Unik",4.5
EO-029,Xclusive Event House,Event Organizer,Tangerang,8500000,24000000,"Eksklusif, VIP, Prestisius",4.9
EO-030,Yakin Jaya Organizer,Event Organizer,Bekasi,3500000,10500000,"Handal, Tepat, Terpercaya",4.6
EO-031,Zenit Planner Studio,Event Organizer,Jakarta,5000000,15000000,"Tertinggi, Profesional, Premium",4.7
EO-032,Amanah Event Co.,Event Organizer,Bogor,2000000,6500000,"Amanah, Jujur, Terpercaya",4.4
